#Approved Symbol	Previous Symbols	Synonyms
A1BG		
ARNTL		MOP3, JAP3, BMAL1, PASD3, bHLHe5
ARPC1A		SOP2Hs, SOP2L, Arc40
ARPC1B		ARC41, p40-ARC, p41-ARC
ARPC2		p34-Arc, ARC34
ARPC3		p21-Arc, ARC21
ARPC4		p20-Arc, ARC20
ARPC5		p16-Arc, ARC16, dJ127C7.3
ARR3		ARRX
ARRB1	ARR1	
ARRB2	ARR2	BARR2, DKFZp686L0365
ARSA		
ARSB		
ARSC2	ARSC	
ARSD		
ARSDP1	ARSDP	ARSDY1
ARSE	CDPX, CDPX1	
ARSEP1	ARSEP	
ARSF		
ARSFP1	ARSFP	
ART1		ART2, CD296
ART2P	RT6	ART1P
ART3		
ART4	DO	DOK1, CD297
ARTN		NBN, EVN, ENOVIN
ARVCF		
ARVD1	ARVD	
ARVD3		
ARVD4		
ARVD5		
ASAH1	ASAH	AC, PHP32, FLJ21558
NAAA	ASAHL	
ASCL1		ASH1, HASH1, bHLHa46
ASCL2		ASH2, HASH2, bHLHa45
ASCL3		bHLHa42, HASH3, Sgn1
ASD1		
ASGR1		CLEC4H1
ASGR2		CLEC4H2
ASH2L	ASH2L1	ASH2L2, ASH2, Bre2
ASIP	AGTIL	ASP
ASL		
ASLP1	ASLL	
ASMD		
ASMT		HIOMT, ASMTY, HIOMTY
ASMTL		
ASNA1		ARSA-I, GET3, TRC40
ASNS		
ASNSP1	ASNSL1	
ASNSP2	ASNSL2	
ASPA		ASP, ACY2
ASPH		CASQ2BP1, BAH, JCTN, HAAH
ASS1	ASS	CTLN1
ASS1P1	ASSP1	
ASS1P10	ASSP10	
ASS1P11	ASSP11	TCAG_1641141
ASS1P12	ASSP12	
ASS1P13	ASSP13	
ASS1P14	ASSP14	
ASS1P2	ASSP2	
ASS1P3	ASSP3	
ASS1P4	ASSP4	
ASS1P5	ASSP5	
ASS1P6	ASSP6	
ASS1P7	ASSP7	
ASS1P8	ASSP8	
ASS1P9	ASSP9	
ASTN1	ASTN	
SERPINC1	AT3	ATIII, MGC22579
ZFHX3	ATBF1	ZNF927
ATCAY		
ATD		
ATE1		
ATF1		TREB36
ATF2	CREB2	TREB7, CRE-BP1, HB16
ATF3		
ATF4	TXREB	TAXREB67, CREB-2
ATF4P4	ATF4B	
ATF4P3	ATF4C	
ATF4P1	TXREBP, ATF4P	TAXREB67P
ATF5		
ATF6		ATF6A
ATF7		ATFA
ATHS		ALP
ATIC		PURH, AICARFT, IMPCHASE
ATM	ATA, ATDC, ATC, ATD	TEL1, TELO1
ATOH1		HATH1, MATH-1, Math1, bHLHa14
ATOX1		HAH1
ATP1A1		
ATP1A2	MHP2	FHM2
ATP1A3	DYT12	
ATP1B1	ATP1B	
ATP1B2		AMOG
ATP1B3		FLJ29027, CD298
ATP1B3P1		
